,title,video_url
74,Livestream 3 - Group A - Round 1 - Round 7 - FIFAe Club World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_19_09_10_50_22994676/index.m3u8
75,Livestream 1 - Group A - Round 1 - Round 7 - FIFAe Club World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_19_09_09_49_4059999/index.m3u8
76,Livestream 7 - Group D - Round 8 - Round 14 - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_15_15_25_58_19220268/index.m3u8
77,Livestream 1 - Final Day  - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_16_34_30_127013/index.m3u8
78,Livestream 2 - Final Day - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_16_35_03_5268684/index.m3u8
79,Player Cam 1 - Quarterfinals - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_14_08_07_15579688/index.m3u8
80,Player Cam 3 - Quarterfinals - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_14_09_07_1442441/index.m3u8
81,Player Cam 2 - Quarterfinals - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_14_08_29_19486175/index.m3u8
82,Player Cam 4 - Quarterfinals - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_14_09_37_9008639/index.m3u8
83,Livestream 1 - Round of 8  - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_11_54_24_15692674/index.m3u8
84,Livestream 2 - Round of 8  - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_11_54_55_11275565/index.m3u8
85,Player Cam 1 - Round of 16 - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_10_26_25_5112165/index.m3u8
86,Player Cam 3 - Round of 16 - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_10_28_48_22042451/index.m3u8
87,Player Cam 2 - Round of 16 - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_10_28_12_6294207/index.m3u8
88,Player Cam 4 - Round of 16 - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_10_29_27_15597127/index.m3u8
89,Player Cam 4 - Round of 16 - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_09_47_07_18923198/index.m3u8
90,Player Cam 2 - Round of 16 - FIFAe World Cup 2022,https://d387613w8yyayj.cloudfront.net/14368_2022_07_16_09_46_23_13199344/index.m3u8
